bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
выключить	вы'ключить	turn off, switch off, cut off, exclude	ausschalten, abstellen, ausmachen, abdrehen	perfective	выключать	вы'ключи	вы'ключите	вы'ключил	вы'ключила	вы'ключило	вы'ключили	вы'ключу	вы'ключишь	вы'ключит	вы'ключим	вы'ключите	вы'ключат
добиваться	добива'ться	achieve	erreichen; erstreben, streben nach, zu erlangen suchen	imperfective	добиться	добива'йся	добива'йтесь	добива'лся	добива'лась	добива'лось	добива'лись	добива'юсь	добива'ешься	добива'ется	добива'емся	добива'етесь	добива'ются
вздрагивать	вздра'гивать	start, give a start, flinch, wince, quiver, shudder	zusammenzucken, zusammenfahren, auffahren	imperfective	вздрогнуть	вздра'гивай	вздра'гивайте	вздра'гивал	вздра'гивала	вздра'гивало	вздра'гивали	вздра'гиваю	вздра'гиваешь	вздра'гивает	вздра'гиваем	вздра'гиваете	вздра'гивают
выделяться	выделя'ться	be distinguished, be notable, stand out, ooze out, exude	abstechen, sich abheben, sich auszeichnen	imperfective	выделиться	выделя'йся	выделя'йтесь	выделя'лся	выделя'лась	выделя'лось	выделя'лись	выделя'юсь	выделя'ешься	выделя'ется	выделя'емся	выделя'етесь	выделя'ются
обходить	обходи'ть	go around, travel around, get around; evade, circumvent	umgehen, herumgehen; vermeiden; abklappern, alles abgehen, durchwandern	imperfective	обойти	обходи'	обходи'те	обходи'л	обходи'ла	обходи'ло	обходи'ли	обхожу'	обхо'дишь	обхо'дит	обхо'дим	обхо'дите	обхо'дят
применяться	применя'ться	adapt oneself, conform	gelten, sich anpaßen	imperfective	примениться	применя'йся	применя'йтесь	применя'лся	применя'лась	применя'лось	применя'лись	применя'юсь	применя'ешься	применя'ется	применя'емся	применя'етесь	применя'ются
метаться	мета'ться	rush about, toss; flounce	sich hin- und herwerfen, sich wälzen	imperfective	метнуться	мечи'сь	мечи'тесь	мета'лся	мета'лась	мета'лось	мета'лись	мечу'сь	ме'чешься	ме'чется	ме'чемся	ме'четесь	ме'чутся
утратить	утра'тить	lose	verlieren, einbüßen	perfective	утрачивать	утра'ть	утра'тьте	утра'тил	утра'тила	утра'тило	утра'тили	утра'чу	утра'тишь	утра'тит	утра'тим	утра'тите	утра'тят
поднести	поднести'	hold up, raise, lift	heranschaffen, anbieten, bewirten, herantragen	perfective	подносить	поднеси'	поднеси'те	поднёс	поднесла'	поднесло'	поднесли'	поднесу'	поднесёшь	поднесёт	поднесём	поднесёте	поднесу'т
кушать	ку'шать	eat; have, take	essen	imperfective	покушать,скушать	ку'шай	ку'шайте	ку'шал	ку'шала	ку'шало	ку'шали	ку'шаю	ку'шаешь	ку'шает	ку'шаем	ку'шаете	ку'шают
поворачивать	повора'чивать	turn, swing, change	zur Seite drehen, wenden, schwenken, umdrehen, umkehren; ablenken; abbiegen	imperfective	повернуть,поворотить	повора'чивай	повора'чивайте	повора'чивал	повора'чивала	повора'чивало	повора'чивали	повора'чиваю	повора'чиваешь	повора'чивает	повора'чиваем	повора'чиваете	повора'чивают
объясняться	объясня'ться	explain, be explained, be accounted for, have a talk, have it out, speak	sich verständigen, sprechen, sich erklären, sich erklären lassen	imperfective	объясниться	объясня'йся	объясня'йтесь	объясня'лся	объясня'лась	объясня'лось	объясня'лись	объясня'юсь	объясня'ешься	объясня'ется	объясня'емся	объясня'етесь	объясня'ются
приоткрыть	приоткры'ть	to open slightly, to set ajar	einen Spalt öffnen	perfective	приоткрывать	приоткро'й	приоткро'йте	приоткры'л	приоткры'ла	приоткры'ло	приоткры'ли	приоткро'ю	приоткро'ешь	приоткро'ет	приоткро'ем	приоткро'ете	приоткро'ют
пропускать	пропуска'ть	miss, skip, let go past, let pass, make way, let through, let in, admit, let out, omit, leave out, drink, absorb	verpassen, übersehen, stehen lassen, überschlagen, versäumen, verschlafen; durchlassen, vorbeilassen, eintreten lassen, auslassen	imperfective	пропустить	пропуска'й	пропуска'йте	пропуска'л	пропуска'ла	пропуска'ло	пропуска'ли	пропуска'ю	пропуска'ешь	пропуска'ет	пропуска'ем	пропуска'ете	пропуска'ют
реагировать	реаги'ровать	react, respond	reagieren	imperfective	отреагировать,среагировать	реаги'руй	реаги'руйте	реаги'ровал	реаги'ровала	реаги'ровало	реаги'ровали	реаги'рую	реаги'руешь	реаги'рует	реаги'руем	реаги'руете	реаги'руют
удержать	удержа'ть	retain, hold, not let fast, hold back, keep, suppress, deduct, keep back	fernhalten, abhalten von, (an)halten, festhalten, zügeln; zurückhalten, unterdrücken (Lachen etc.); zurückbehalten, behalten, abziehen (einen Betrag)	perfective	удерживать	удержи'	удержи'те	удержа'л	удержа'ла	удержа'ло	удержа'ли	удержу'	уде'ржишь	уде'ржит	уде'ржим	уде'ржите	уде'ржат
пробежать	пробежа'ть	pass, run by, run through, run along, run, cover, skim, scan, run about, miss with all running about	durchlaufen, vorbeilaufen	perfective	пробегать	пробеги'	пробеги'те	пробежа'л	пробежа'ла	пробежа'ло	пробежа'ли	пробегу'	пробежи'шь	пробежи'т	пробежи'м	пробежи'те	пробегу'т
предназначить	предназна'чить	intend, destine, mean, set aside, earmark	bestimmen, vorgehen	perfective	предназначать	предназна'чь	предназна'чьте	предназна'чил	предназна'чила	предназна'чило	предназна'чили	предназна'чу	предназна'чишь	предназна'чит	предназна'чим	предназна'чите	предназна'чат
призывать	призыва'ть	call, summon, urge	einberufen; aufrufen, auffordern	imperfective	призвать	призыва'й	призыва'йте	призыва'л	призыва'ла	призыва'ло	призыва'ли	призыва'ю	призыва'ешь	призыва'ет	призыва'ем	призыва'ете	призыва'ют
схватиться	схвати'ться		greifen, packen, anfassen	perfective	схватываться,хвататься	схвати'сь	схвати'тесь	схвати'лся	схвати'лась	схвати'лось	схвати'лись	схвачу'сь	схва'тишься	схва'тится	схва'тимся	схва'титесь	схва'тятся
склониться	склони'ться	incline, bend, be inclined, yield, decline, be declined	sich neigen, sich beugen, sich biegen, geneigt sein, sich entschließen	perfective	склоняться	склони'сь	склони'тесь	склони'лся	склони'лась	склони'лось	склони'лись	склоню'сь	скло'нишься	скло'нится	скло'нимся	скло'нитесь	скло'нятся
потребоваться	потре'боваться	need, require, take	erforderlich sein, nötig sein, verlangt werden	perfective	требоваться	потре'буйся	потре'буйтесь	потре'бовался	потре'бовалась	потре'бовалось	потре'бовались	потре'буюсь	потре'буешься	потре'буется	потре'буемся	потре'буетесь	потре'буются
почитать	почи'тать	read, honour, respect, esteem, revere, hold sacred, consider, think	lesen; erachten, ansehen; achten, verehren	both	читать;почесть	почита'й	почита'йте	почита'л	почита'ла	почита'ло	почита'ли	почита'ю	почита'ешь	почита'ет	почита'ем	почита'ете	почита'ют
обманывать	обма'нывать	deceive, cheat, trick, swindle	betrügen / täuschen (hintergehen), belügen, lügen über etw.; ein Versprechen nicht einhalten	imperfective	обмануть	обма'нывай	обма'нывайте	обма'нывал	обма'нывала	обма'нывало	обма'нывали	обма'нываю	обма'нываешь	обма'нывает	обма'нываем	обма'нываете	обма'нывают
забраться	забра'ться	perch, climb, get, reach, penetrate	hinaufsteigen, hinaufklettern, eindringen, sich schleichen	perfective	забираться	забери'сь	забери'тесь	забра'лся	забрала'сь	забра'лось//забрало'сь	забра'лись//забрали'сь	заберу'сь	заберёшься	заберётся	заберёмся	заберётесь	заберу'тся
слушаться	слу'шаться	obey, listen	gehorchen, hören auf	imperfective	послушаться	слу'шайся	слу'шайтесь	слу'шался	слу'шалась	слу'шалось	слу'шались	слу'шаюсь	слу'шаешься	слу'шается	слу'шаемся	слу'шаетесь	слу'шаются
нахмуриться	нахму'риться	to frown	die Stirn runzeln, sich verfinstern	perfective	нахмуриваться,хмуриться	нахму'рься	нахму'рьтесь	нахму'рился	нахму'рилась	нахму'рилось	нахму'рились	нахму'рюсь	нахму'ришься	нахму'рится	нахму'римся	нахму'ритесь	нахму'рятся
связывать	свя'зывать	tie together, bind; connect	binden / zusammenbinden; verbinden, verknüpfen	imperfective	связать	свя'зывай	свя'зывайте	свя'зывал	свя'зывала	свя'зывало	свя'зывали	свя'зываю	свя'зываешь	свя'зывает	свя'зываем	свя'зываете	свя'зывают
любоваться	любова'ться	admire; contemplate	bewundern, bestaunen	imperfective	полюбоваться,залюбоваться	любу'йся	любу'йтесь	любова'лся	любова'лась	любова'лось	любова'лись	любу'юсь	любу'ешься	любу'ется	любу'емся	любу'етесь	любу'ются
лопнуть	ло'пнуть	break, burst, split, go bankrupt, be exhausted	platzen, bersten	perfective	лопаться	ло'пни	ло'пните	ло'пнул	ло'пнула	ло'пнуло	ло'пнули	ло'пну	ло'пнешь	ло'пнет	ло'пнем	ло'пнете	ло'пнут
оборвать	оборва'ть	tear off, break, pluck, pick, gather, cut short, snub, dig round	abreißen, zerreißen; abbrechen; pflücken	perfective	обрывать	оборви'	оборви'те	оборва'л	оборвала'	оборва'ло	оборва'ли	оборву'	оборвёшь	оборвёт	оборвём	оборвёте	оборву'т
гладить	гла'дить	to iron, press, stroke; to pet	bügeln; streichen über, streicheln	imperfective	погладить	гла'дь	гла'дьте	гла'дил	гла'дила	гла'дило	гла'дили	гла'жу	гла'дишь	гла'дит	гла'дим	гла'дите	гла'дят
освободиться	освободи'ться	to have free time; to be unoccupied	sich befreien, sich frei machen, loswerden, frei sein, sich freimachen	perfective	освобождаться	освободи'сь	освободи'тесь	освободи'лся	освободи'лась	освободи'лось	освободи'лись	освобожу'сь	освободи'шься	освободи'тся	освободи'мся	освободи'тесь	освободя'тся
поползти	поползти'	crawl; spread rumors	zu kriechen beginnen	perfective	ползти	поползи'	поползи'те	попо'лз	поползла'	поползло'	поползли'	поползу'	поползёшь	поползёт	поползём	поползёте	поползу'т
скрипеть	скрипе'ть	squeak, creak, crunch	knarren (Tür etc.) / knirschen (Zähne etc.); quietschen (Tür, Bett, Schuhe)	imperfective	проскрипеть,скрипнуть	скрипи'	скрипи'те	скрипе'л	скрипе'ла	скрипе'ло	скрипе'ли	скриплю'	скрипи'шь	скрипи'т	скрипи'м	скрипи'те	скрипя'т
отвезти	отвезти'	take away, drive	abtransportieren, wegbringen, bringen, zurückbringen	perfective	отвозить	отвези'	отвези'те	отвёз	отвезла'	отвезло'	отвезли'	отвезу'	отвезёшь	отвезёт	отвезём	отвезёте	отвезу'т
преследовать	пресле'довать	pursue, chase, be after, haunt, persecute victimize, prosecute, strive	verfolgen; nachstellen, nachjagen	imperfective	-	пресле'дуй	пресле'дуйте	пресле'довал	пресле'довала	пресле'довало	пресле'довали	пресле'дую	пресле'дуешь	пресле'дует	пресле'дуем	пресле'дуете	пресле'дуют
подсказать	подсказа'ть	prompt, suggest	zuflüstern, vorsagen; auf einen Gedanken bringen, einen Wink geben, einen Tipp geben	perfective	подсказывать	подскажи'	подскажи'те	подсказа'л	подсказа'ла	подсказа'ло	подсказа'ли	подскажу'	подска'жешь	подска'жет	подска'жем	подска'жете	подска'жут
проявляться	проявля'ться	become apparent, show, appear	sich zeigen, sich äußern, zutage treten	imperfective	проявиться	проявля'йся	проявля'йтесь	проявля'лся	проявля'лась	проявля'лось	проявля'лись	проявля'юсь	проявля'ешься	проявля'ется	проявля'емся	проявля'етесь	проявля'ются
издать	изда'ть	publish, issue	herausgeben, verlegen, erlassen, von sich geben, ausstoßen	perfective	издавать	изда'й	изда'йте	изда'л	издала'	изда'ло,издало'	изда'ли	изда'м	изда'шь	изда'ст	издади'м	издади'те	издаду'т
узнавать	узнава'ть	recognize	erkennen, wiedererkennen; erfahren, in Erfahrung bringen, sich erkundigen nach; etw. / jmd. kennenlernen	imperfective	узнать	узнава'й	узнава'йте	узнава'л	узнава'ла	узнава'ло	узнава'ли	узнаю'	узнаёшь	узнаёт	узнаём	узнаёте	узнаю'т
угрожать	угрожа'ть	threaten, menace	drohen, androhen; bedrohen	imperfective	угрозить	угрожа'й	угрожа'йте	угрожа'л	угрожа'ла	угрожа'ло	угрожа'ли	угрожа'ю	угрожа'ешь	угрожа'ет	угрожа'ем	угрожа'ете	угрожа'ют
залезть	зале'зть	climb, steal, get, penetrate	hineinklettern, hineinkriechen, reinkommen, eindringen; hinaufklettern, hochklettern, klettern; sich verkriechen	perfective	залезать	зале'зь	зале'зьте	зале'з	зале'зла	зале'зло	зале'зли	зале'зу	зале'зешь	зале'зет	зале'зем	зале'зете	зале'зут
размахивать	разма'хивать	swing, brandish	schwingen, hin und her schwenken	imperfective		разма'хивай	разма'хивайте	разма'хивал	разма'хивала	разма'хивало	разма'хивали	разма'хиваю	разма'хиваешь	разма'хивает	разма'хиваем	разма'хиваете	разма'хивают
преодолеть	преодоле'ть	overcome, get the better, get over, surmount	überwinden, überwältigen; bewältigen	perfective	преодолевать	преодоле'й	преодоле'йте	преодоле'л	преодоле'ла	преодоле'ло	преодоле'ли	преодоле'ю	преодоле'ешь	преодоле'ет	преодоле'ем	преодоле'ете	преодоле'ют
основать	основа'ть	found, base	gründen, begründen, stiften	perfective	основывать	осну'й	осну'йте	основа'л	основа'ла	основа'ло	основа'ли	осную'	оснуёшь	оснуёт	оснуём	оснуёте	осную'т
улететь	улете'ть	fly, vanish, pass	fortfliegen, wegfliegen, fliegen, abfliegen	perfective	улетать	улети'	улети'те	улете'л	улете'ла	улете'ло	улете'ли	улечу'	улети'шь	улети'т	улети'м	улети'те	улетя'т
упираться	упира'ться	rest, set, jib, turn; comes down to	sich stemmen, sich stützen, sich sträuben, stoßen; auf etwas stoßen, an etwas geraten; sich sträuben, sich weigern	imperfective	упереться	упира'йся	упира'йтесь	упира'лся	упира'лась	упира'лось	упира'лись	упира'юсь	упира'ешься	упира'ется	упира'емся	упира'етесь	упира'ются
трудиться	труди'ться	work, toil, labour, fag	arbeiten, sich bemühen, sich Mühe geben	imperfective	потрудиться	труди'сь	труди'тесь	труди'лся	труди'лась	труди'лось	труди'лись	тружу'сь	тру'дишься	тру'дится	тру'димся	тру'дитесь	тру'дятся
поспешить	поспеши'ть	hurry, make haste, hasten, be fast	sich beeilen	perfective	спешить	поспеши'	поспеши'те	поспеши'л	поспеши'ла	поспеши'ло	поспеши'ли	поспешу'	поспеши'шь	поспеши'т	поспеши'м	поспеши'те	поспеша'т
вылезать	вылеза'ть	come out, climb out, scramble out, crawl out, get out, alight, fall out	herauskriechen, herauskommen; ausfallen, аusgehen; unpassend bemerken, herausplatzen	imperfective	вылезть,вылезти	вылеза'й	вылеза'йте	вылеза'л	вылеза'ла	вылеза'ло	вылеза'ли	вылеза'ю	вылеза'ешь	вылеза'ет	вылеза'ем	вылеза'ете	вылеза'ют
уронить	урони'ть	drop, let fall, shed, moult	fallen lassen	perfective	ронять	урони'	урони'те	урони'л	урони'ла	урони'ло	урони'ли	уроню'	уро'нишь	уро'нит	уро'ним	уро'ните	уро'нят
водиться	води'ться	associate, be found; live	verkehren, Umgang haben; vorkommen, sich aufhalten; üblich sein	imperfective	-	води'сь	води'тесь	води'лся	води'лась	води'лось	води'лись	вожу'сь	во'дишься	во'дится	во'димся	во'дитесь	во'дятся
выглянуть	вы'глянуть	look out, peep out, emerge	hinaussehen, hinauslehnen, hinausschauen, hervortreten, hervorschauen	perfective	выглядывать	вы'гляни	вы'гляните	вы'глянул	вы'глянула	вы'глянуло	вы'глянули	вы'гляну	вы'глянешь	вы'глянет	вы'глянем	вы'глянете	вы'глянут
уговорить	уговори'ть	persuade, talk into, convince	überreden	perfective	уговаривать	уговори'	уговори'те	уговори'л	уговори'ла	уговори'ло	уговори'ли	уговорю'	уговори'шь	уговори'т	уговори'м	уговори'те	уговоря'т
спрыгнуть	спры'гнуть	spring	herunterspringen, springen	perfective	спрыгивать	спры'гни	спры'гните	спры'гнул	спры'гнула	спры'гнуло	спры'гнули	спры'гну	спры'гнешь	спры'гнет	спры'гнем	спры'гнете	спры'гнут
воровать	ворова'ть	steal, be a thief, pilfer, filch, pinch	stehlen, klauen	imperfective	своровать	вору'й	вору'йте	ворова'л	ворова'ла	ворова'ло	ворова'ли	вору'ю	вору'ешь	вору'ет	вору'ем	вору'ете	вору'ют
откликнуться	откли'кнуться	respond, comment	antworten, reagieren, sich äußern	perfective	откликаться	откли'кнись	откли'книтесь	откли'кнулся	откли'кнулась	откли'кнулось	откли'кнулись	откли'кнусь	откли'кнешься	откли'кнется	откли'кнемся	откли'кнетесь	откли'кнутся
расходиться	расходи'ться	diverge, split up, beak up	auseinanderlaufen	imperfective	разойтись	расходи'сь	расходи'тесь	расходи'лся	расходи'лась	расходи'лось	расходи'лись	расхожу'сь	расхо'дишься	расхо'дится	расхо'димся	расхо'дитесь	расхо'дятся
расспрашивать	расспра'шивать	question, make inquiries	fragen	imperfective	расспросить	расспра'шивай	расспра'шивайте	расспра'шивал	расспра'шивала	расспра'шивало	расспра'шивали	расспра'шиваю	расспра'шиваешь	расспра'шивает	расспра'шиваем	расспра'шиваете	расспра'шивают
удалиться	удали'ться		sich entfernen, sich zurückziehen, fortgehen	perfective	удаляться	удали'сь	удали'тесь	удали'лся	удали'лась	удали'лось	удали'лись	удалю'сь	удали'шься	удали'тся	удали'мся	удали'тесь	удаля'тся
выводить	выводи'ть	take out, lead out, help out, make go out, turn out, withdraw, call off, remove, extirpate, destroy, exterminate, conclude, infer, depict, portray, grow, raise, hatch	herausführen, wegführen	imperfective	вывести	выводи'	выводи'те	выводи'л	выводи'ла	выводи'ло	выводи'ли	вывожу'	выво'дишь	выво'дит	выво'дим	выво'дите	выво'дят
подавить	подави'ть	press, trample, squeeze	drücken, erdrücken, unterdrücken, abwürgen	perfective	подавлять	подави'	подави'те	подави'л	подави'ла	подави'ло	подави'ли	подавлю'	пода'вишь	пода'вит	пода'вим	пода'вите	пода'вят
сопротивляться	сопротивля'ться	resist, oppose	Widerstand leisten; sich widersetzen, widerstehen, sich sträuben	imperfective	-	сопротивля'йся	сопротивля'йтесь	сопротивля'лся	сопротивля'лась	сопротивля'лось	сопротивля'лись	сопротивля'юсь	сопротивля'ешься	сопротивля'ется	сопротивля'емся	сопротивля'етесь	сопротивля'ются
подчиняться	подчиня'ться	submit, obey	sich unterwerfen, sich fügen	imperfective	подчиниться	подчиня'йся	подчиня'йтесь	подчиня'лся	подчиня'лась	подчиня'лось	подчиня'лись	подчиня'юсь	подчиня'ешься	подчиня'ется	подчиня'емся	подчиня'етесь	подчиня'ются
постоять	постоя'ть	stand, stand up	eine Zeitlang stehen; einstehen (eintreten für)	perfective	стоять	посто'й	посто'йте	постоя'л	постоя'ла	постоя'ло	постоя'ли	постою'	постои'шь	постои'т	постои'м	постои'те	постоя'т
поморщиться	помо'рщиться	make a wry face	die Nase rümpfen; das Gesicht verziehen	perfective	морщиться	помо'рщись//помо'рщься	помо'рщьтесь	помо'рщился	помо'рщилась	помо'рщилось	помо'рщились	помо'рщусь	помо'рщишься	помо'рщится	помо'рщимся	помо'рщитесь	помо'рщатся
поискать	поиска'ть	look for, search, seek	suchen	perfective	искать	поищи'	поищи'те	поиска'л	поиска'ла	поиска'ло	поиска'ли	поищу'	пои'щешь	пои'щет	пои'щем	пои'щете	пои'щут
качаться	кача'ться	rock, swing, reel, stagger	schaukeln, schwingen, pendeln, schwanken, sich bewegen, taumeln, wackeln; die Muskeln trainieren	imperfective	качнуться;накачаться	кача'йся	кача'йтесь	кача'лся	кача'лась	кача'лось	кача'лись	кача'юсь	кача'ешься	кача'ется	кача'емся	кача'етесь	кача'ются
уступать	уступа'ть	let have, cede, yield, give in, give way, concede, be inferior, abate, take off	nachstehen; nachgeben; überlassen	imperfective	уступить	уступа'й	уступа'йте	уступа'л	уступа'ла	уступа'ло	уступа'ли	уступа'ю	уступа'ешь	уступа'ет	уступа'ем	уступа'ете	уступа'ют
презирать	презира'ть	despise, hold in contempt, disdain	verachten	imperfective	презреть	презира'й	презира'йте	презира'л	презира'ла	презира'ло	презира'ли	презира'ю	презира'ешь	презира'ет	презира'ем	презира'ете	презира'ют
давить	дави'ть	press, lie heavy, crush, press, squeeze	drücken, lasten; beengen; auspressen; zerdrücken; überfahren, töten; unterdrücken; quetschen, ausquetschen, zerquetschen	imperfective	-	дави'	дави'те	дави'л	дави'ла	дави'ло	дави'ли	давлю'	да'вишь	да'вит	да'вим	да'вите	да'вят
вырезать	вы'резать	cut out, excise, engrave, carve, slaughter, massacre, butcher	ausschneiden, (heraus)schneiden / (heraus)operieren; schnitzen, ausstanzen, einmeißeln; abschlachten / niedermetzeln	perfective	выреза'ть	вы'режи//вы'режь	вы'режьте	вы'резал	вы'резала	вы'резало	вы'резали	вы'режу	вы'режешь	вы'режет	вы'режем	вы'режете	вы'режут
подчёркивать	подчёркивать	underline, underscore, emphasize, accentuate, stress	unterstreichen, betonen, hervorheben	imperfective	подчеркнуть	подчёркивай	подчёркивайте	подчёркивал	подчёркивала	подчёркивало	подчёркивали	подчёркиваю	подчёркиваешь	подчёркивает	подчёркиваем	подчёркиваете	подчёркивают
запеть	запе'ть	begin to sing	ein Lied anstimmen, intonieren; etwas so oft gesungen haben, dass es └ seinen Sinn / seinen Klang┘ verloren hat	perfective	запевать	запо'й	запо'йте	запе'л	запе'ла	запе'ло	запе'ли	запою'	запоёшь	запоёт	запоём	запоёте	запою'т
покачиваться	пока'чиваться	rock	schaukeln, wanken, taumeln	imperfective	-	пока'чивайся	пока'чивайтесь	пока'чивался	пока'чивалась	пока'чивалось	пока'чивались	пока'чиваюсь	пока'чиваешься	пока'чивается	пока'чиваемся	пока'чиваетесь	пока'чиваются
избежать	избежа'ть	escape	vermeiden, meiden, sich entziehen; aus dem Weg gehen, entgehen, entrinnen	perfective	избегать	избеги'	избеги'те	избежа'л	избежа'ла	избежа'ло	избежа'ли	избегу'	избежи'шь	избежи'т	избежи'м	избежи'те	избегу'т
подбежать	подбежа'ть	run up, come running up	herbeilaufen, zulaufen	perfective	подбегать	подбеги'	подбеги'те	подбежа'л	подбежа'ла	подбежа'ло	подбежа'ли	подбегу'	подбежи'шь	подбежи'т	подбежи'м	подбежи'те	подбегу'т
вытаскивать	выта'скивать	take out, drag out, pull out, extract, fish out, steal, pinch	herausziehen, herausholen, herausbekommen	imperfective	вытащить	выта'скивай	выта'скивайте	выта'скивал	выта'скивала	выта'скивало	выта'скивали	выта'скиваю	выта'скиваешь	выта'скивает	выта'скиваем	выта'скиваете	выта'скивают
кружиться	кружи'ться	whirl, spin, go round	sich drehen	imperfective	-	кружи'сь	кружи'тесь	кружи'лся	кружи'лась	кружи'лось	кружи'лись	кружу'сь	кру'жишься	кру'жится	кру'жимся	кру'житесь	кру'жатся
чистить	чи'стить	to clean, to brush, to scour, to peel	reinigen; säubern	imperfective	почистить	чи'сти	чи'стите	чи'стил	чи'стила	чи'стило	чи'стили	чи'щу	чи'стишь	чи'стит	чи'стим	чи'стите	чи'стят
запустить	запусти'ть	launch; neglect, allow to deteriorate, let slide	starten, in Gang setzen; (her)einlassen, durchlassen; vernachlässigen	perfective	запускать;забросить	запусти'	запусти'те	запусти'л	запусти'ла	запусти'ло	запусти'ли	запущу'	запу'стишь	запу'стит	запу'стим	запу'стите	запу'стят
печатать	печа'тать	print, type	tippen, maschineschreiben; drucken	imperfective	напечатать,распечатать	печа'тай	печа'тайте	печа'тал	печа'тала	печа'тало	печа'тали	печа'таю	печа'таешь	печа'тает	печа'таем	печа'таете	печа'тают
выложить	вы'ложить	lay out, spread out, unbosom oneself, tell, lay	auslegen / ausbreiten; herauslegen / herausnehmen	perfective	выкладывать	вы'ложи	вы'ложите	вы'ложил	вы'ложила	вы'ложило	вы'ложили	вы'ложу	вы'ложишь	вы'ложит	вы'ложим	вы'ложите	вы'ложат
складываться	скла'дываться	turn-out, come together; form	entstehen, sich herausbilden	imperfective	сложиться	скла'дывайся	скла'дывайтесь	скла'дывался	скла'дывалась	скла'дывалось	скла'дывались	скла'дываюсь	скла'дываешься	скла'дывается	скла'дываемся	скла'дываетесь	скла'дываются
распространить	распространи'ть	spread, diffuse, disseminate, propagate, popularize	etw. verbreiten (Nachricht etc.); etw. ausdehen / ausweiten auf (Gebiet, Personenkreis etc.)	perfective	распространять	распространи'	распространи'те	распространи'л	распространи'ла	распространи'ло	распространи'ли	распространю'	распространи'шь	распространи'т	распространи'м	распространи'те	распространя'т
сдерживать	сде'рживать	hold in, keep back, restrain, hold in check, contain, deter, hold, keep in, suppress, check	etw./jmdn. beherrschen; unterdrücken	imperfective	сдержать	сде'рживай	сде'рживайте	сде'рживал	сде'рживала	сде'рживало	сде'рживали	сде'рживаю	сде'рживаешь	сде'рживает	сде'рживаем	сде'рживаете	сде'рживают
толкать	толка'ть	push, shove, jog, push on, incite, instigate	stoßen, drängen, schieben, schubsen; anspornen, anstacheln	imperfective	толкнуть	толка'й	толка'йте	толка'л	толка'ла	толка'ло	толка'ли	толка'ю	толка'ешь	толка'ет	толка'ем	толка'ете	толка'ют
пребывать	пребыва'ть	be, abide, reside	unverändert bleiben; sein, sich befinden; verharren	imperfective	пребыть	пребыва'й	пребыва'йте	пребыва'л	пребыва'ла	пребыва'ло	пребыва'ли	пребыва'ю	пребыва'ешь	пребыва'ет	пребыва'ем	пребыва'ете	пребыва'ют
удерживать	уде'рживать	retain, hold, not let fast, hold back, keep, suppress, deduct, keep back	fernhalten / abhalten von, (an)halten, zügeln; zurückhalten, unterdrücken (Lachen etc.); zurückbehalten / behalten, abziehen (einen Betrag)	imperfective	удержать	уде'рживай	уде'рживайте	уде'рживал	уде'рживала	уде'рживало	уде'рживали	уде'рживаю	уде'рживаешь	уде'рживает	уде'рживаем	уде'рживаете	уде'рживают
уволить	уво'лить	fire, terminate, sack	entlassen, kündigen	perfective	увольнять	уво'ль	уво'льте	уво'лил	уво'лила	уво'лило	уво'лили	уво'лю	уво'лишь	уво'лит	уво'лим	уво'лите	уво'лят
податься	пода'ться	give way, yield, make for	rücken, verrücken, nachgeben, weichen; aufbrechen, sich aufmachen, sich anschicken	perfective	подаваться	пода'йся	пода'йтесь	пода'лся	подала'сь	пода'лось//подало'сь	пода'лись//подали'сь	пода'мся	пода'шься	пода'стся	подади'мся	подади'тесь	подаду'тся
потерпеть	потерпе'ть	suffer, endure, stand, bear, put up with, tolerate, support; have patience	dulden, sich gedulden, geduldig sein; erleiden / ertragen, leiden (können)	perfective	терпеть	потерпи'	потерпи'те	потерпе'л	потерпе'ла	потерпе'ло	потерпе'ли	потерплю'	поте'рпишь	поте'рпит	поте'рпим	поте'рпите	поте'рпят
прислушаться	прислу'шаться	listen, lend ear, cock an ear	lauschen	perfective	прислушиваться	прислу'шайся	прислу'шайтесь	прислу'шался	прислу'шалась	прислу'шалось	прислу'шались	прислу'шаюсь	прислу'шаешься	прислу'шается	прислу'шаемся	прислу'шаетесь	прислу'шаются
приобретать	приобрета'ть	acquire, gain, buy, purchase	erwerben, gewinnen, finden, annehmen, bekommen	imperfective	приобрести	приобрета'й	приобрета'йте	приобрета'л	приобрета'ла	приобрета'ло	приобрета'ли	приобрета'ю	приобрета'ешь	приобрета'ет	приобрета'ем	приобрета'ете	приобрета'ют
спохватиться	спохвати'ться		sich besinnen, plötzlich bemerken	perfective	спохватываться	спохвати'сь	спохвати'тесь	спохвати'лся	спохвати'лась	спохвати'лось	спохвати'лись	спохвачу'сь	спохва'тишься	спохва'тится	спохва'тимся	спохва'титесь	спохва'тятся
пригодиться	пригоди'ться	prove useful, be of use	zustatten kommen, nützlich sein	perfective	пригождаться	пригоди'сь	пригоди'тесь	пригоди'лся	пригоди'лась	пригоди'лось	пригоди'лись	пригожу'сь	пригоди'шься	пригоди'тся	пригоди'мся	пригоди'тесь	пригодя'тся
