bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
случаться	случа'ться	happen, come to pass, come about, occur, befall, couple, pair	geschehen, passieren, sich zutragen, sich ereignen	imperfective	случиться	случа'йся	случа'йтесь	случа'лся	случа'лась	случа'лось	случа'лись	случа'юсь	случа'ешься	случа'ется	случа'емся	случа'етесь	случа'ются
устраивать	устра'ивать	arrange, organize, establish, make, settle, put in order, place, fix up, set up, suit, be convenient	recht sein, passen; einrichten, anliegen, bauen, regeln, ordnen, unterbringen; veranstalten, organisieren	imperfective	устроить	устра'ивай	устра'ивайте	устра'ивал	устра'ивала	устра'ивало	устра'ивали	устра'иваю	устра'иваешь	устра'ивает	устра'иваем	устра'иваете	устра'ивают
уезжать	уезжа'ть	leave, depart	wegfahren - fortfahren - abreisen, verreisen, fahren, reisen, verlassen	imperfective	уехать	уезжа'й	уезжа'йте	уезжа'л	уезжа'ла	уезжа'ло	уезжа'ли	уезжа'ю	уезжа'ешь	уезжа'ет	уезжа'ем	уезжа'ете	уезжа'ют
прыгать	пры'гать	spring, jump, leap, bound, bounce	springen, hüpfen	imperfective	попрыгать,прыгнуть	пры'гай	пры'гайте	пры'гал	пры'гала	пры'гало	пры'гали	пры'гаю	пры'гаешь	пры'гает	пры'гаем	пры'гаете	пры'гают
кормить	корми'ть	feed, suckle, nurse	füttern, säugen, stillen, zu essen / zu fressen geben; ernähren, satt machen; verpflegen, versorgen, beköstigen	imperfective	накормить;прокормить	корми'	корми'те	корми'л	корми'ла	корми'ло	корми'ли	кормлю'	ко'рмишь	ко'рмит	ко'рмим	ко'рмите	ко'рмят
направиться	напра'виться	be headed	sich begeben, gehen, fahren	perfective	направляться	напра'вься	напра'вьтесь	напра'вился	напра'вилась	напра'вилось	напра'вились	напра'влюсь	напра'вишься	напра'вится	напра'вимся	напра'витесь	напра'вятся
рассчитывать	рассчи'тывать	count on, rely on, expect; calculate, estimate; dismiss, sack, lay off	berechnen (ausrechnen) / abzählen; mit jmd./etw. rechnen, zählen auf jmd., berücksichtigen (Rechnung tragen); entlassen / entlohnen	imperfective	рассчитать	рассчи'тывай	рассчи'тывайте	рассчи'тывал	рассчи'тывала	рассчи'тывало	рассчи'тывали	рассчи'тываю	рассчи'тываешь	рассчи'тывает	рассчи'тываем	рассчи'тываете	рассчи'тывают
расположить	расположи'ть	dispose, have available, intend, propose, set, gain, win over	anordnen, verteilen; aufstellen; günstig stimmen, (jemanden) für sich einnehmen	perfective	располагать	расположи'	расположи'те	расположи'л	расположи'ла	расположи'ло	расположи'ли	расположу'	располо'жишь	располо'жит	располо'жим	располо'жите	располо'жат
услать	усла'ть	send away	wegschicken, fortschicken; verbannen	perfective	усылать,слать	ушли'	ушли'те	усла'л	усла'ла	усла'ло	усла'ли	ушлю'	ушлёшь	ушлёт	ушлём	ушлёте	ушлю'т
уважать	уважа'ть	respect, esteem, have respect, hold in respect	achten, ehren; respektieren	imperfective	-	уважа'й	уважа'йте	уважа'л	уважа'ла	уважа'ло	уважа'ли	уважа'ю	уважа'ешь	уважа'ет	уважа'ем	уважа'ете	уважа'ют
повести	повести'	drive a car; lead, conduct, direct; behave	führen, (ge)leiten; fahren, lenken (ein Fahrzeug "führen" etc.); sich verhalten, sich benehmen, sich (auf)führen	perfective	вести	поведи'	поведи'те	повёл	повела'	повело'	повели'	поведу'	поведёшь	поведёт	поведём	поведёте	поведу'т
попадать	попада'ть	hit, get, find oneself, fetch up, fall one after the other	treffen, kommen; geraten, hineingeraten, gelangen; einen Verweis / Rüffel / eine Abreibung bekommen, etwas / eins / was abkriegen; treffen (ins Ziel); Miese machen	imperfective	попасть	попада'й	попада'йте	попада'л	попада'ла	попада'ло	попада'ли	попада'ю	попада'ешь	попада'ет	попада'ем	попада'ете	попада'ют
